param,Ground Energy,Gap energy,Sec Der of E0/punc,Order param,Binder,Susceptibility
0.668,-0.73712735655405981,0.069127356554062214,-7.3342450074851513,0.55694723245518574,0.96792734252598878,6.1958962298848244
0.6684,-0.73717775879626624,0.068777758796268351,-7.3615626990795135,0.55889767078165686,0.96747570106764091,6.1726516480685758
0.6688,-0.7372293388885045,0.068429338888506663,-7.3886177372187376,0.56085296574864862,0.96701816397285756,6.1493177405288186
0.6692,-0.73728210115958059,0.068082101159582797,-7.4154027011245489,0.56281302942346512,0.96655468294012659,6.1258950440333138
0.6696,-0.73733604989508905,0.06773604989509141,-7.4419101718813181,0.56477777216639513,0.96608521024901695,6.102384122462043
0.67,-0.73739118933622472,0.06739118933622712,-7.4681327119469643,0.56674710263887551,0.96560969879435044,6.0787855670188709
0.6704,-0.73744752367859434,0.067047523678596566,-7.4940629117190838,0.56872092781267625,0.96512810212078837,6.055099996430986
0.6708,-0.73750505707102987,0.066705057071032248,-7.5196933280676603,0.57069915298012797,0.96464037445780493,6.031328057135636
0.6712,-0.73756379361439783,0.066363793614400257,-7.5450165700167418,0.57268168176542922,0.96414647075501858,6.007470423453408
0.6716,-0.73762373736041698,0.066023737360419554,-7.5700252298265696,0.57466841613697095,0.9636463467178723,5.9835277977482946
0.672,-0.73768489231047285,0.065684892310475362,-7.594711909070611,0.57665925642079019,0.96313995884361314,5.9595009105734142
0.6724,-0.73774726241443433,0.065347262414436891,-7.6190692782402039,0.5786541013150468,0.96262726445756674,5.9353905208025743
0.6728,-0.73781085156948023,0.065010851569482941,-7.6430899687111378,0.58065284790563088,0.96210822174965871,5.9111974157468659
0.6732,-0.73787566361892087,0.064675663618923518,-7.6667667049914598,0.58265539168283742,0.96158278981116352,5.8869224112559744
0.6736,-0.73794170235103451,0.064341702351037089,-7.6900921836495399,0.58466162655915399,0.96105092867164577,5.86256635180409
0.674,-0.73800897149789746,0.064008971497900302,-7.7130592036992311,0.58667144488813772,0.96051259933606281,5.8381301105596366
0.6744,-0.73807747473423324,0.063677474734236017,-7.7356605567038059,0.58868473748439609,0.95996776382199522,5.8136145894388722
0.6748,-0.73814721567625774,0.063347215676260671,-7.7578891068696976,0.59070139364468577,0.95941638519696537,5.7890207191425089
0.6752,-0.73821819788053966,0.063018197880542637,-7.7797377649694681,0.59272130117009025,0.95885842761582096,5.7643494591756825
0.6756,-0.73829042484286378,0.062690424842866688,-7.8011994957923889,0.5947443463893326,0.95829385635812814,5.7396017978501543
0.676,-0.73836389999710728,0.062363899997110339,-7.8222673386335373,0.59677041418315913,0.95772263786555634,5.7147787522691944
0.6764,-0.73843862671412486,0.062038626714127854,-7.8429343774914742,0.59879938800983534,0.95714473977920222,5.6898813682943397
0.6768,-0.73851460830064297,0.061714608300646345,-7.8631937820464373,0.6008311499317357,0.95656013097681702,5.6649107204938813
0.6772,-0.73859184799816602,0.061391847998169102,-7.8830387964844704,0.60286558064300588,0.95596878160990162,5.6398679120730062
0.6776,-0.73867034898189665,0.06107034898189978,-7.9024627469480038,0.60490255949831695,0.95537066314062036,5.6147540747850107
0.678,-0.73875011435966675,0.060750114359670038,-7.9214590284973383,0.60694196454268523,0.9547657483784957,5.5895703688235958
0.6784,-0.73883114717088116,0.06043114717088427,-7.9400211423635483,0.60898367254234487,0.95415401151684409,5.564317982696104
0.6788,-0.73891345038547851,0.060113450385481437,-7.9581426847726107,0.61102755901666672,0.95353542816890491,5.5389981330772189
0.6792,-0.73899702690290525,0.059797026902908446,-7.9758173208683729,0.61307349827112256,0.95290997540361844,5.5136120646431914
0.6796,-0.73908187955110349,0.059481879551106731,-7.9930388797074556,0.61512136343126367,0.9522776317810121,5.4881610498863926
0.68,-0.73916801108552244,0.059168011085525718,-8.0098012201488018,0.61717102647770083,0.9516383773871474,5.4626463889099703
0.6804,-0.73925542418813672,0.058855424188140271,-8.0260983798652887,0.61922235828207206,0.95099219386858536,5.4370694092027447
0.6808,-0.73934412146649187,0.058544121466495236,-8.0419244710355997,0.62127522864398121,0.95033906446632099,5.4114314653939859
0.6812,-0.73943410545276234,0.058234105452765861,-8.0572737492620945,0.62332950632888939,0.94967897404914259,5.3857339389881265
0.6816,-0.73952537860283296,0.057925378602836419,-8.0721405800431967,0.62538505910692899,0.94901190914637101,5.3599782380794316
0.682,-0.73961794329539643,0.057617943295400043,-8.0865194760262966,0.62744175379262923,0.94833785797993297,5.334165797046607
0.6824,-0.7397118018310761,0.057311801831079423,-8.1004050727933645,0.62949945628551507,0.94765681049572104,5.3082980762272216
0.6828,-0.73980695643156758,0.057006956431571276,-8.1137921307235956,0.63155803161157598,0.94696875839419492,5.2823765615721783
0.6832,-0.73990340923879983,0.056703409238803459,-8.1266755815595388,0.63361734396555491,0.94627369516017978,5.2564027642801783
0.6836,-0.74000116231412516,0.05640116231412895,-8.139050479978323,0.63567725675405329,0.94557161609181306,5.2303782204123195
0.684,-0.7401002176375272,0.056100217637531147,-8.1509120501577854,0.63773763263940009,0.9448625183285978,5.2043044904868019
0.6844,-0.74020057710685705,0.055800577106860594,-8.1622556354850531,0.63979833358427551,0.94414640087851698,5.1781831590542362
0.6848,-0.74030224253708854,0.05550224253709235,-8.1730767861008644,0.64185922089703373,0.94342326464416759,5.1520158342534055
0.6852,-0.74040521565960571,0.055205215659609674,-8.1833711750805378,0.64392015527774282,0.94269311244785747,5.1258041473475489
0.6856,-0.74050949812151068,0.054909498121514799,-8.1931346450001001,0.6459809968648299,0.94195594905564728,5.0995497522420266
0.686,-0.74061509148495919,0.054615091484963352,-8.2023632396012545,0.64804160528237853,0.94121178120026949,5.0732543249828623
0.6864,-0.74072199722652599,0.054321997226530083,-8.2110531143844128,0.65010183968798207,0.94046061760290101,5.046919563236905
0.6868,-0.74083021673659122,0.054030216736595471,-8.2192006632685661,0.65216155882115978,0.93970246899374132,5.0205471857538466
0.6872,-0.74093975131876244,0.053739751318766293,-8.226802421733737,0.65422062105226653,0.9389373481313581,4.994138931810145
0.6876,-0.74105060218932117,0.053450602189325513,-8.2338551040738821,0.65627888443187787,0.9381652698207672,4.9676965606357095
0.688,-0.74116277047669665,0.053162770476700927,-8.2403556201606989,0.65833620674060433,0.93738625093020367,4.9412218508232142
0.6884,-0.74127625722097124,0.052876257220975664,-8.2463010717183352,0.6603924455393021,0.93660031040655123,4.914716599720709
0.6888,-0.74139106337341731,0.052591063373421676,-8.2516887430101633,0.66244745821962292,0.93580746928940173,4.8881826228080438
0.6892,-0.74150718979606234,0.052307189796066744,-8.2565160728991032,0.66450110205488222,0.93500775072370423,4.8616217530573049
0.6896,-0.74162463726127914,0.052024637261283702,-8.2607807889580727,0.66655323425120383,0.93420117997097296,4.8350358402777927
0.69,-0.741743406451422,0.051743406451426166,-8.2644807044416666,0.66860371199887403,0.93338778441903691,4.8084267504463449
0.6904,-0.74186349795847739,0.05146349795848193,-8.2676138859242201,0.67065239252388598,0.9325675935902904,4.7817963650230739
0.6908,-0.74198491228375485,0.051184912283759321,-8.2701786104589701,0.67269913313963936,0.93174063914842364,4.7551465802534381
0.6912,-0.7421076498376098,0.050907649837614533,-8.2721733171492815,0.67474379129871709,0.9309069549036133,4.7284793064569053
0.6916,-0.74223171093919582,0.050631710939200603,-8.2735966891050339,0.67678622464472726,0.93006657681614879,4.7017964673031161
